model,time_version,accuracy,precision,recall,f1,roc_auc
Decision Tree,with_time,0.7833333333333333,0.6363636363636364,0.7368421052631579,0.6829268292682927,0.7779204107830552
Decision Tree,without_time,0.7166666666666667,0.5384615384615384,0.7368421052631579,0.6222222222222222,0.7439024390243901
Gradient Boosting,with_time,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.8677792041078304
Gradient Boosting,without_time,0.7,0.5384615384615384,0.3684210526315789,0.4375,0.766367137355584
