model,time_version,accuracy,precision,recall,f1,roc_auc,owner
Random Forest,with_time,0.8333333333333334,0.8461538461538461,0.5789473684210527,0.6875,0.8992297817715019,Salem
Logistic Regression,with_time,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8575096277278563,Salem
Random Forest,without_time,0.7333333333333333,0.6153846153846154,0.4210526315789473,0.5,0.7965340179717587,Salem
Logistic Regression,without_time,0.7,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.7406931964056482,Salem
