feature,importance
serum_creatinine,0.2971790375360095
ejection_fraction,0.23071987052165552
creatinine_phosphokinase,0.13596374251584847
age,0.10155842952382202
platelets,0.09551431579163058
serum_sodium,0.05856489628837582
sex,0.019662480950732725
smoking,0.016403021943569174
diabetes,0.015495445491716008
high_blood_pressure,0.014812536457037073
anaemia,0.014126222979603116
