model,accuracy_mean,accuracy_lo,accuracy_hi,precision_mean,precision_lo,precision_hi,recall_mean,recall_lo,recall_hi,f1_mean,f1_lo,f1_hi,roc_auc_mean,roc_auc_lo,roc_auc_hi
Logistic Regression,0.825497175141243,0.7408333333333333,0.8833333333333333,0.7683444128970442,0.5965073529411765,0.9333333333333333,0.6727368421052633,0.5263157894736842,0.8421052631578947,0.7098588296647219,0.5893092105263158,0.8202173913043478,0.8706996790757381,0.793806161745828,0.9241014120667522
Random Forest,0.8421129943502824,0.7666666666666667,0.9129166666666666,0.7887548248254939,0.6666666666666666,0.9273351648351649,0.7042105263157894,0.5316447368421052,0.8988157894736842,0.7392960683996854,0.5979876160990713,0.8651147098515519,0.9079879172015404,0.8433961810012838,0.961261633504493
Decision Tree,0.7692259887005649,0.6833333333333333,0.8333333333333334,0.6402347160960367,0.5,0.7368421052631579,0.6523684210526316,0.45532894736842106,0.8421052631578947,0.6421269257678014,0.5,0.7592261904761904,0.7385317715019254,0.6383340019255456,0.8325096277278562
Gradient Boosting,0.8273841807909603,0.7666666666666667,0.8949364406779661,0.7541959742445675,0.6504891304347826,0.9030748663101603,0.7006842105263158,0.47368421052631576,0.8482236842105263,0.7201726747133192,0.5665826612903226,0.8282657657657658,0.887882509627728,0.7858223684210526,0.94698973042362
