feature,importance
serum_creatinine,0.24277639441617108
ejection_fraction,0.1572202257972541
age,0.14831500312488802
platelets,0.13523041860397061
creatinine_phosphokinase,0.11968671124725726
serum_sodium,0.0852587383311289
sex,0.04267421691664117
smoking,0.03613590696636476
diabetes,0.032702384596323984
anaemia,0.0
high_blood_pressure,0.0
