model,time_version,accuracy,precision,recall,f1,roc_auc,owner
Decision Tree,without_time,0.7166666666666667,0.5384615384615384,0.7368421052631579,0.6222222222222222,0.7439024390243901,Tala
Decision Tree,with_time,0.7833333333333333,0.6363636363636364,0.7368421052631579,0.6829268292682927,0.7779204107830552,Tala
Gradient Boosting,with_time,0.8333333333333334,0.8,0.631578947368421,0.7058823529411765,0.8677792041078304,Tala
Logistic Regression,with_time,0.8,0.7333333333333333,0.5789473684210527,0.6470588235294118,0.8575096277278563,Salem
Random Forest,with_time,0.8333333333333334,0.8461538461538461,0.5789473684210527,0.6875,0.8992297817715019,Salem
Logistic Regression,without_time,0.7,0.5263157894736842,0.5263157894736842,0.5263157894736842,0.7406931964056482,Salem
Random Forest,without_time,0.7333333333333333,0.6153846153846154,0.4210526315789473,0.5,0.7965340179717587,Salem
Gradient Boosting,without_time,0.7,0.5384615384615384,0.3684210526315789,0.4375,0.766367137355584,Tala
